 ,Label,Area,Mean
291,104_13.tif_C1:Nucleus-C1,1.356,2350.216
292,104_13.tif_C1:Intersection-C1,0.962,2536.248
293,104_14.tif_C2:Nucleus-C2,1.218,2111.594
294,104_14.tif_C2:Intersection-C2,0.779,2215.871
295,104_14.tif_C1:Nucleus-C1,1.117,2620.090
296,104_14.tif_C1:Intersection-C1,0.934,2770.735
297,104_15.tif_C2:Nucleus-C2,1.200,2152.366
298,104_15.tif_C2:Intersection-C2,0.916,2301.290
299,104_15.tif_C1:Nucleus-C1,1.273,2629.331
300,104_15.tif_C1:Intersection-C1,0.678,2960.797
301,104_16.tif_C2:Nucleus-C2,1.319,1954.757
302,104_16.tif_C2:Intersection-C2,0.833,2187.846
303,104_16.tif_C1:Nucleus-C1,1.035,2676.841
304,104_16.tif_C1:Intersection-C1,0.550,3001.817
305,104_17.tif_C2:Nucleus-C2,1.291,2011.894
306,104_17.tif_C2:Intersection-C2,0.724,2034.038
307,104_17.tif_C1:Nucleus-C1,1.282,2471.464
308,104_17.tif_C1:Intersection-C1,0.687,2588.173
309,104_18.tif_C2:Nucleus-C2,1.291,1966.043
310,104_18.tif_C2:Intersection-C2,0.962,2075.771
311,104_18.tif_C1:Nucleus-C1,1.172,2541.727
312,104_18.tif_C1:Intersection-C1,0.934,2705.245
313,104_19.tif_C2:Nucleus-C2,1.236,1994.719
314,104_19.tif_C2:Intersection-C2,0.522,2119.404
315,104_19.tif_C1:Nucleus-C1,1.456,2265.019
316,104_19.tif_C1:Intersection-C1,0.513,2489.768
317,104_20.tif_C2:Nucleus-C2,1.337,1900.068
318,104_20.tif_C2:Intersection-C2,0.714,2030.474
319,104_20.tif_C1:Nucleus-C1,1.255,2399.212
320,104_20.tif_C1:Intersection-C1,0.467,2626.392
321,107_00.tif_C2:Nucleus-C2,1.465,1610.825
322,107_01.tif_C2:Nucleus-C2,1.868,1614.485
323,107_01.tif_C2:Intersection-C2,0.449,1562.735
324,107_01.tif_C1:Nucleus-C1,2.171,1655.612
325,107_01.tif_C1:Intersection-C1,0.366,1672.300
326,107_02.tif_C2:Nucleus-C2,1.685,1942.582
327,107_02.tif_C2:Intersection-C2,0.403,1719.636
328,107_02.tif_C1:Nucleus-C1,1.356,2179.000
329,107_02.tif_C1:Intersection-C1,0.137,1746.533
330,107_03.tif_C2:Nucleus-C2,2.152,1474.668
331,107_03.tif_C2:Intersection-C2,0.659,1344.236
332,107_03.tif_C1:Nucleus-C1,2.015,1698.705
333,107_03.tif_C1:Intersection-C1,0.366,1605.875
334,107_04.tif_C2:Nucleus-C2,1.951,1556.610
335,107_04.tif_C2:Intersection-C2,0.421,1379.826
336,107_04.tif_C1:Nucleus-C1,1.539,1901.185
337,107_04.tif_C1:Intersection-C1,0.192,1438.000
338,107_05.tif_C2:Nucleus-C2,1.667,1724.654
339,107_05.tif_C2:Intersection-C2,0.504,1635.891
340,107_05.tif_C1:Nucleus-C1,1.722,1962.830
341,107_05.tif_C1:Intersection-C1,0.201,1730.455
342,107_06.tif_C2:Nucleus-C2,1.878,1571.966
343,107_06.tif_C2:Intersection-C2,0.678,1597.311
344,107_06.tif_C1:Nucleus-C1,1.566,1988.064
345,107_06.tif_C1:Intersection-C1,0.293,2015.188
346,107_07.tif_C2:Nucleus-C2,1.585,1723.410
347,107_07.tif_C2:Intersection-C2,0.504,1767.982
348,107_07.tif_C1:Nucleus-C1,1.420,2187.542
349,107_07.tif_C1:Intersection-C1,0.266,2057.828
350,107_08.tif_C2:Nucleus-C2,1.813,1600.515
351,107_08.tif_C2:Intersection-C2,0.586,1734.031
352,107_08.tif_C1:Nucleus-C1,1.630,1863.039
353,107_08.tif_C1:Intersection-C1,0.330,2019.611
354,107_09.tif_C2:Nucleus-C2,1.914,1497.311
355,107_09.tif_C2:Intersection-C2,0.449,1441.449
356,107_09.tif_C1:Nucleus-C1,1.658,1901.138
357,107_09.tif_C1:Intersection-C1,0.192,1335.857
358,107_10.tif_C2:Nucleus-C2,1.804,1520.817
359,107_10.tif_C2:Intersection-C2,0.339,1333.162
