LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID95151,95151,104,572.87548828125,78.69003686673669,9.61868038670964,0.0,23.0,23,0.25,1,,1992.2972972972977,2228.0,756.0,3475.0,73715.0,761.5342286341313,1976.6756756756756,1967.0,1184.0,3281.0,73137.0,534.0477534855876,1819.0270270270273,1726.0,1005.0,3007.0,67304.0,626.4444413817861,-0.010438428480121493,-0.05519338263561732,0.06251332105231867,0.43553544938473693,0.21184992177626344,1.0152337722719365
ID98095,98095,104,638.465576171875,78.7615004438876,10.732942802423867,0.0,38.0,38,0.25,1,,849.7567567567569,777.0,516.0,1867.0,31441.0,296.21786327384535,1095.5945945945946,889.0,558.0,2049.0,40537.0,465.2807670559704,1793.4054054054052,1614.0,965.0,3368.0,66356.0,652.8412883295201,-0.10869502373906549,-0.6996755659748214,0.05777100555492418,0.2572071541238231,0.23576145633470794,1.0481875985486253
ID91825,91825,104,610.84326171875,78.28487876771733,10.129470885251074,0.0,5.0,5,0.25,1,,2995.4864864864867,3010.0,2245.0,4117.0,110833.0,500.5137150757999,2379.4324324324325,2487.0,1233.0,3348.0,88039.0,529.3381895526894,1947.3783783783788,1656.0,1070.0,3679.0,72053.0,685.9289869039469,0.056275691543413414,0.637712504759636,0.09968037439625935,0.8149169122357661,0.17307414439770533,0.8377374179389302
ID93242,93242,104,737.5595092773438,78.10671059666417,9.94625604856445,0.0,10.0,10,0.25,1,,3021.324324324324,3083.0,2073.0,4011.0,111789.0,458.4597434195682,2013.1621621621618,1838.0,1046.0,3258.0,74487.0,619.2770656855331,1984.459459459459,1760.0,1110.0,3956.0,73425.0,750.222359429915,0.14301781795547872,1.6491618624677986,0.04632660846729828,0.2878637611465823,0.2420239584224783,1.0308859237059629
ID99258,99258,104,789.7700805664062,79.12896776710714,10.539266467737644,0.0,44.0,44,0.25,1,,737.9999999999999,702.0,440.0,1412.0,27306.0,223.22410264126947,1075.4864864864865,865.0,486.0,2354.0,39793.0,530.7849858475663,2073.189189189189,1870.0,1023.0,4139.0,76708.0,856.6982756113352,-0.11144907561427697,-0.8293529988779159,-0.025275486755041623,-0.10508336312336587,0.25699262910176085,0.9895300212533581
ID99388,99388,104,705.1651611328125,79.00563354329842,10.465729678099555,0.0,46.0,46,0.25,1,,845.2162162162163,694.0,460.0,2083.0,31273.0,416.2111600254488,1296.054054054054,1186.0,654.0,2541.0,47954.0,559.300800898663,1772.0,1428.0,982.0,4177.0,65564.0,925.0090089651379,-0.17657967869344637,-0.8709700815618323,0.10518368332799866,0.44108427969309716,0.20806982606277524,0.659879775144017
ID92097,92097,104,828.3582763671875,78.35187169028873,10.015300215141636,0.0,6.0,6,0.25,1,,2888.1891891891887,2963.0,1870.0,3722.0,106863.0,514.6530566981689,2593.8648648648646,2474.0,1600.0,3677.0,95973.0,536.8866610251989,2210.3783783783783,1906.0,1103.0,4814.0,81784.0,880.638668219812,0.05545877715609863,0.5897529075312881,0.12978475541782425,1.1099992894129938,0.2617984836292208,1.041540096684232
ID98241,98241,104,463.7485046386719,78.82878283408502,10.64122435243831,0.0,37.0,37,0.25,1,,751.9729729729731,677.0,414.0,1651.0,27823.0,274.2905481506878,1079.081081081081,1086.0,607.0,1862.0,39926.0,335.53501045828773,1845.5945945945948,1742.0,1134.0,2781.0,68287.0,472.1117722801726,-0.15096277912544115,-0.9749100279878702,0.02972111386136932,0.18564860731459898,0.1894229199098619,1.245138607231639
ID90944,90944,104,855.8080444335938,78.29028768469824,10.047248141300415,0.0,3.0,3,0.25,1,,2928.621621621622,2809.0,2239.0,3997.0,108359.0,516.4944525544486,2159.189189189189,2278.0,1129.0,2927.0,79890.0,465.29350580740595,2125.7297297297296,1867.0,1100.0,4966.0,78652.0,952.4535173449162,0.0762429425858894,0.8033724448406613,0.09116895979391644,0.7754408899727179,0.23382014536762097,0.8459103162236008
ID99535,99535,104,241.99026489257812,78.98994741732766,10.390592983814567,0.0,50.0,50,0.25,1,,894.5945945945945,858.0,520.0,1930.0,33100.0,270.0459281368695,948.2972972972972,958.0,535.0,1424.0,35087.0,280.12694194526097,1438.2432432432433,1469.0,885.0,2007.0,53215.0,293.0059162661515,-0.06919073505107785,-0.49249959659141856,0.02207066307043724,0.1462022601244197,0.11625799068924797,1.022454946726309
