 ,Label,Area,Mean
255,12_12.tif_C1:Nucleus-C1,2.977,1618.471
256,12_12.tif_C1:Intersection-C1,0.888,1632.144
257,12_13.tif_C2:Nucleus-C2,3.316,1625.409
258,12_13.tif_C2:Intersection-C2,1.026,1926.188
259,12_13.tif_C1:Nucleus-C1,2.876,1653.341
260,12_13.tif_C1:Intersection-C1,0.916,1767.880
261,12_14.tif_C2:Nucleus-C2,3.371,1608.715
262,12_14.tif_C2:Intersection-C2,1.026,1857.991
263,12_14.tif_C1:Nucleus-C1,3.425,1584.091
264,12_14.tif_C1:Intersection-C1,0.907,1670.939
265,12_15.tif_C2:Nucleus-C2,3.105,1626.847
266,12_15.tif_C2:Intersection-C2,0.989,1782.676
267,12_15.tif_C1:Nucleus-C1,3.187,1564.055
268,12_15.tif_C1:Intersection-C1,0.714,1623.962
269,12_16.tif_C2:Nucleus-C2,3.398,1568.701
270,12_16.tif_C2:Intersection-C2,0.998,1702.211
271,12_16.tif_C1:Nucleus-C1,2.848,1635.797
272,12_16.tif_C1:Intersection-C1,0.623,1737.221
273,12_17.tif_C2:Nucleus-C2,3.068,1598.513
274,12_17.tif_C2:Intersection-C2,1.026,1773.929
275,12_17.tif_C1:Nucleus-C1,3.004,1620.768
276,12_17.tif_C1:Intersection-C1,0.806,1687.102
277,12_18.tif_C2:Nucleus-C2,2.958,1630.257
278,12_18.tif_C2:Intersection-C2,1.026,1925.714
279,12_18.tif_C1:Nucleus-C1,2.592,1688.703
280,12_18.tif_C1:Intersection-C1,1.017,1872.730
281,12_19.tif_C2:Nucleus-C2,2.885,1629.317
282,12_19.tif_C2:Intersection-C2,0.623,1697.162
283,12_19.tif_C1:Nucleus-C1,2.775,1661.099
284,12_19.tif_C1:Intersection-C1,0.440,1592.354
285,12_20.tif_C2:Nucleus-C2,3.380,1540.580
286,12_20.tif_C2:Intersection-C2,0.943,1622.184
287,12_20.tif_C1:Nucleus-C1,3.508,1553.684
288,12_20.tif_C1:Intersection-C1,0.843,1481.098
289,12_21.tif_C2:Nucleus-C2,3.371,1528.117
290,12_21.tif_C2:Intersection-C2,0.907,1597.596
291,12_21.tif_C1:Nucleus-C1,2.968,1628.799
292,12_21.tif_C1:Intersection-C1,0.467,1587.098
293,13_00.tif_C2:Nucleus-C2,2.922,1784.461
294,13_00.tif_C2:Intersection-C2,1.026,1982.911
295,13_00.tif_C1:Nucleus-C1,2.647,1976.644
296,13_00.tif_C1:Intersection-C1,1.026,2279.554
