 ,Label,Area,Mean
283,12_11.tif_C1:Nucleus-C1,1.960,2141.243
284,12_11.tif_C1:Intersection-C1,1.026,2310.188
285,12_12.tif_C2:Nucleus-C2,1.823,2094.874
286,12_12.tif_C2:Intersection-C2,0.861,2218.670
287,12_12.tif_C1:Nucleus-C1,1.850,2158.520
288,12_12.tif_C1:Intersection-C1,0.614,1972.537
289,12_13.tif_C2:Nucleus-C2,2.070,2025.177
290,12_13.tif_C2:Intersection-C2,1.017,2225.577
291,12_13.tif_C1:Nucleus-C1,1.914,2168.196
292,12_13.tif_C1:Intersection-C1,0.714,2283.141
293,12_14.tif_C2:Nucleus-C2,2.024,2027.914
294,12_14.tif_C2:Intersection-C2,0.943,2175.796
295,12_14.tif_C1:Nucleus-C1,1.923,2120.738
296,12_14.tif_C1:Intersection-C1,0.623,2104.853
297,12_15.tif_C2:Nucleus-C2,2.134,1992.532
298,12_15.tif_C2:Intersection-C2,0.843,2191.761
299,12_15.tif_C1:Nucleus-C1,1.997,2024.413
300,12_15.tif_C1:Intersection-C1,0.540,2044.542
301,12_16.tif_C2:Nucleus-C2,2.097,1882.734
302,12_16.tif_C2:Intersection-C2,0.797,1966.552
303,12_16.tif_C1:Nucleus-C1,1.914,2048.478
304,12_16.tif_C1:Intersection-C1,0.513,2027.946
305,12_17.tif_C2:Nucleus-C2,1.850,2028.896
306,12_17.tif_C2:Intersection-C2,0.898,2105.357
307,12_17.tif_C1:Nucleus-C1,1.832,2154.475
308,12_17.tif_C1:Intersection-C1,0.623,2161.574
309,12_18.tif_C2:Nucleus-C2,1.933,2010.123
310,12_18.tif_C2:Intersection-C2,1.026,2290.509
311,12_18.tif_C1:Nucleus-C1,1.759,2244.964
312,12_18.tif_C1:Intersection-C1,0.879,2388.708
313,12_19.tif_C2:Nucleus-C2,1.997,1946.619
314,12_19.tif_C2:Intersection-C2,0.495,1988.204
315,12_19.tif_C1:Nucleus-C1,1.923,2139.410
316,12_19.tif_C1:Intersection-C1,0.275,1887.167
317,12_20.tif_C2:Nucleus-C2,1.942,1951.094
318,12_20.tif_C2:Intersection-C2,0.604,2072.000
319,12_20.tif_C1:Nucleus-C1,2.097,1990.266
320,12_20.tif_C1:Intersection-C1,0.476,1923.769
321,12_21.tif_C2:Nucleus-C2,2.097,1859.253
322,12_21.tif_C2:Intersection-C2,0.604,1876.545
323,12_21.tif_C1:Nucleus-C1,1.850,2173.168
324,12_21.tif_C1:Intersection-C1,0.275,1971.400
325,13_00.tif_C2:Nucleus-C2,1.804,2310.838
326,13_00.tif_C2:Intersection-C2,0.898,2423.878
327,13_00.tif_C1:Nucleus-C1,1.878,2560.346
328,13_00.tif_C1:Intersection-C1,1.026,2837.455
329,13_01.tif_C2:Nucleus-C2,2.290,2066.948
330,13_01.tif_C2:Intersection-C2,0.742,2176.852
331,13_01.tif_C1:Nucleus-C1,1.759,2582.521
332,13_01.tif_C1:Intersection-C1,0.815,2686.562
333,13_02.tif_C2:Nucleus-C2,1.969,2076.753
334,13_02.tif_C2:Intersection-C2,0.650,2172.183
335,13_02.tif_C1:Nucleus-C1,1.667,2756.220
336,13_02.tif_C1:Intersection-C1,0.623,3005.485
337,13_03.tif_C2:Nucleus-C2,2.088,2071.285
338,13_03.tif_C2:Intersection-C2,0.614,2149.672
339,13_03.tif_C1:Nucleus-C1,2.088,2427.684
340,13_03.tif_C1:Intersection-C1,0.687,2492.293
341,13_04.tif_C2:Nucleus-C2,2.006,1971.315
342,13_04.tif_C2:Intersection-C2,0.641,2036.271
343,13_04.tif_C1:Nucleus-C1,2.207,2366.855
344,13_04.tif_C1:Intersection-C1,0.705,2609.571
345,13_05.tif_C2:Nucleus-C2,2.107,1879.122
346,13_05.tif_C2:Intersection-C2,0.916,1975.360
347,13_05.tif_C1:Nucleus-C1,2.033,2384.144
348,13_05.tif_C1:Intersection-C1,0.989,2594.481
349,13_06.tif_C2:Nucleus-C2,2.061,1942.662
350,13_06.tif_C2:Intersection-C2,0.925,2026.624
351,13_06.tif_C1:Nucleus-C1,1.914,2565.967
352,13_06.tif_C1:Intersection-C1,0.953,2722.846
353,13_08.tif_C2:Nucleus-C2,1.887,1988.485
354,13_08.tif_C2:Intersection-C2,0.659,2137.458
355,13_08.tif_C1:Nucleus-C1,2.107,2509.791
356,13_08.tif_C1:Intersection-C1,0.843,2582.543
357,13_09.tif_C2:Nucleus-C2,1.804,2065.812
358,13_09.tif_C2:Intersection-C2,1.026,2225.232
359,13_09.tif_C1:Nucleus-C1,1.942,2495.981
360,13_09.tif_C1:Intersection-C1,1.007,2567.409
361,13_10.tif_C2:Nucleus-C2,2.033,2018.910
362,13_10.tif_C2:Intersection-C2,1.026,2199.080
363,13_10.tif_C1:Nucleus-C1,1.997,2453.596
364,13_10.tif_C1:Intersection-C1,1.007,2661.218
365,13_11.tif_C2:Nucleus-C2,1.951,1899.408
366,13_11.tif_C2:Intersection-C2,1.026,2055.375
367,13_11.tif_C1:Nucleus-C1,1.896,2442.937
368,13_11.tif_C1:Intersection-C1,0.898,2584.408
369,13_12.tif_C2:Nucleus-C2,1.942,1893.500
370,13_12.tif_C2:Intersection-C2,1.026,2117.295
371,13_12.tif_C1:Nucleus-C1,2.052,2379.446
372,13_12.tif_C1:Intersection-C1,1.017,2572.108
373,13_13.tif_C2:Nucleus-C2,1.951,1897.427
374,13_13.tif_C2:Intersection-C2,0.907,2072.283
375,13_13.tif_C1:Nucleus-C1,1.969,2395.051
376,13_13.tif_C1:Intersection-C1,1.007,2698.200
377,13_14.tif_C2:Nucleus-C2,1.942,1830.175
378,13_14.tif_C2:Intersection-C2,0.879,1985.969
379,13_14.tif_C1:Nucleus-C1,1.942,2383.406
380,13_14.tif_C1:Intersection-C1,1.026,2665.036
381,13_15.tif_C2:Nucleus-C2,1.905,1878.293
382,13_15.tif_C2:Intersection-C2,0.852,1953.376
383,13_15.tif_C1:Nucleus-C1,2.152,2403.502
384,13_15.tif_C1:Intersection-C1,1.026,2766.554
385,13_16.tif_C2:Nucleus-C2,2.216,1691.921
386,13_16.tif_C2:Intersection-C2,0.989,1890.769
387,13_16.tif_C1:Nucleus-C1,2.226,2240.041
388,13_16.tif_C1:Intersection-C1,1.026,2492.375
389,13_17.tif_C2:Nucleus-C2,1.978,1818.500
390,13_17.tif_C2:Intersection-C2,0.769,2066.524
391,13_17.tif_C1:Nucleus-C1,2.033,2251.009
392,13_17.tif_C1:Intersection-C1,0.953,2559.885
393,13_18.tif_C2:Nucleus-C2,2.052,1780.223
394,13_18.tif_C2:Intersection-C2,0.751,1961.695
395,13_18.tif_C1:Nucleus-C1,1.823,2400.050
396,13_18.tif_C1:Intersection-C1,0.916,2699.180
397,13_19.tif_C2:Nucleus-C2,2.070,1722.106
398,13_19.tif_C2:Intersection-C2,0.833,1861.516
399,13_19.tif_C1:Nucleus-C1,2.052,2268.161
400,13_19.tif_C1:Intersection-C1,0.962,2498.267
401,13_20.tif_C2:Nucleus-C2,2.125,1689.116
402,13_20.tif_C2:Intersection-C2,0.833,1796.407
403,13_20.tif_C1:Nucleus-C1,1.997,2475.794
404,13_20.tif_C1:Intersection-C1,0.916,2527.350
405,13_21.tif_C2:Nucleus-C2,2.079,1727.974
406,13_21.tif_C2:Intersection-C2,0.678,1846.135
407,13_21.tif_C1:Nucleus-C1,2.189,2298.967
408,13_21.tif_C1:Intersection-C1,0.870,2424.705
409,14_00.tif_C2:Nucleus-C2,2.354,2320.510
410,14_00.tif_C2:Intersection-C2,0.495,2301.519
411,14_00.tif_C1:Nucleus-C1,2.162,2779.839
412,14_00.tif_C1:Intersection-C1,0.266,2311.655
413,14_01.tif_C2:Nucleus-C2,2.354,2288.665
414,14_01.tif_C2:Intersection-C2,0.604,2318.758
415,14_01.tif_C1:Nucleus-C1,2.336,2583.957
416,14_01.tif_C1:Intersection-C1,0.348,2335.079
417,14_02.tif_C2:Nucleus-C2,2.033,2328.216
418,14_02.tif_C2:Intersection-C2,0.577,2165.841
419,14_02.tif_C1:Nucleus-C1,2.125,2723.655
420,14_02.tif_C1:Intersection-C1,0.348,1987.974
421,14_03.tif_C2:Nucleus-C2,2.235,2266.107
422,14_03.tif_C2:Intersection-C2,0.623,2116.809
423,14_03.tif_C1:Nucleus-C1,2.281,2518.598
424,14_03.tif_C1:Intersection-C1,0.458,1979.640
425,14_04.tif_C2:Nucleus-C2,2.180,2281.748
426,14_04.tif_C2:Intersection-C2,0.604,2243.561
427,14_04.tif_C1:Nucleus-C1,2.134,2608.584
428,14_04.tif_C1:Intersection-C1,0.357,2532.308
429,14_05.tif_C2:Nucleus-C2,2.180,2192.807
430,14_05.tif_C2:Intersection-C2,0.467,2147.804
431,14_05.tif_C1:Nucleus-C1,2.015,2676.536
432,14_05.tif_C1:Intersection-C1,0.238,2221.577
433,14_06.tif_C2:Nucleus-C2,2.061,2435.924
434,14_06.tif_C2:Intersection-C2,0.366,2015.650
435,14_06.tif_C1:Nucleus-C1,1.969,2952.456
436,14_06.tif_C1:Intersection-C1,0.192,2527.857
437,14_07.tif_C2:Nucleus-C2,2.345,2211.309
438,14_07.tif_C2:Intersection-C2,0.394,2062.860
439,14_07.tif_C1:Nucleus-C1,2.152,2875.562
440,14_07.tif_C1:Intersection-C1,0.238,2390.115
441,14_08.tif_C2:Nucleus-C2,2.281,2193.225
442,14_08.tif_C2:Intersection-C2,0.577,2031.794
443,14_08.tif_C1:Nucleus-C1,2.271,2770.012
444,14_08.tif_C1:Intersection-C1,0.293,2414.906
445,14_09.tif_C2:Nucleus-C2,2.116,2286.913
446,14_09.tif_C2:Intersection-C2,0.531,2308.983
447,14_09.tif_C1:Nucleus-C1,1.859,3046.300
448,14_09.tif_C1:Intersection-C1,0.174,2589.684
449,14_10.tif_C2:Nucleus-C2,2.125,2288.267
450,14_10.tif_C2:Intersection-C2,0.476,1987.654
451,14_10.tif_C1:Nucleus-C1,1.960,2783.458
452,14_10.tif_C1:Intersection-C1,0.174,2240.737
453,14_11.tif_C2:Nucleus-C2,2.271,2145.411
454,14_11.tif_C2:Intersection-C2,0.430,1824.979
455,14_11.tif_C1:Nucleus-C1,2.189,2812.887
456,14_11.tif_C1:Intersection-C1,0.174,2604.579
457,14_12.tif_C2:Nucleus-C2,2.143,2236.158
458,14_12.tif_C2:Intersection-C2,0.394,2006.512
459,14_12.tif_C1:Nucleus-C1,2.363,2690.508
460,14_12.tif_C1:Intersection-C1,0.201,2265.000
461,14_13.tif_C2:Nucleus-C2,2.107,2202.422
462,14_13.tif_C2:Intersection-C2,0.485,2076.094
463,14_13.tif_C1:Nucleus-C1,2.061,2727.520
464,14_13.tif_C1:Intersection-C1,0.266,2219.069
465,14_14.tif_C2:Nucleus-C2,2.372,2073.158
466,14_14.tif_C2:Intersection-C2,0.348,1836.211
467,14_14.tif_C1:Nucleus-C1,2.372,2671.988
468,14_14.tif_C1:Intersection-C1,0.165,1948.111
469,14_15.tif_C2:Nucleus-C2,2.152,2126.702
470,14_15.tif_C2:Intersection-C2,0.540,1996.576
471,14_15.tif_C1:Nucleus-C1,2.244,2784.367
