 ,Label,Area,Mean
366,107_16.tif_C1:Intersection-C1,0.201,1188.636
367,107_17.tif_C2:Nucleus-C2,3.114,1313.994
368,107_17.tif_C2:Intersection-C2,0.476,1300.846
369,107_19.tif_C2:Nucleus-C2,3.142,1300.525
370,107_19.tif_C2:Intersection-C2,0.687,1319.120
371,107_19.tif_C1:Nucleus-C1,2.619,1485.986
372,107_19.tif_C1:Intersection-C1,0.311,1417.147
373,109_00.tif_C2:Nucleus-C2,2.583,2087.865
374,109_00.tif_C2:Intersection-C2,0.440,2038.833
375,109_00.tif_C1:Nucleus-C1,2.381,1937.381
376,109_00.tif_C1:Intersection-C1,0.366,1996.350
377,109_01.tif_C2:Nucleus-C2,2.336,2076.906
378,109_01.tif_C2:Intersection-C2,0.385,1994.762
379,109_01.tif_C1:Nucleus-C1,2.207,1945.585
380,109_01.tif_C1:Intersection-C1,0.394,1857.419
381,109_02.tif_C2:Nucleus-C2,2.290,2066.980
382,109_02.tif_C2:Intersection-C2,0.421,1881.696
383,109_02.tif_C1:Nucleus-C1,2.189,1995.866
384,109_02.tif_C1:Intersection-C1,0.440,1855.562
385,109_03.tif_C2:Nucleus-C2,2.244,2085.514
386,109_03.tif_C2:Intersection-C2,0.632,2061.928
387,109_03.tif_C1:Nucleus-C1,2.326,1898.492
388,109_03.tif_C1:Intersection-C1,0.724,1874.114
389,109_04.tif_C2:Nucleus-C2,2.436,1999.056
390,109_04.tif_C2:Intersection-C2,0.403,1890.727
391,109_04.tif_C1:Nucleus-C1,2.189,1951.720
392,109_04.tif_C1:Intersection-C1,0.430,1744.234
393,109_05.tif_C2:Nucleus-C2,2.445,1978.607
394,109_05.tif_C2:Intersection-C2,0.714,1925.256
395,109_05.tif_C1:Nucleus-C1,2.143,1942.239
396,109_05.tif_C1:Intersection-C1,0.705,1874.558
397,109_06.tif_C2:Nucleus-C2,2.482,1964.140
398,109_06.tif_C2:Intersection-C2,0.604,1927.636
399,109_06.tif_C1:Nucleus-C1,2.180,1881.055
400,109_06.tif_C1:Intersection-C1,0.504,1833.055
401,109_07.tif_C2:Nucleus-C2,2.610,1960.084
402,109_07.tif_C2:Intersection-C2,0.678,1951.905
403,109_07.tif_C1:Nucleus-C1,2.253,1888.000
404,109_07.tif_C1:Intersection-C1,0.659,1915.125
405,109_08.tif_C2:Nucleus-C2,2.354,1958.782
406,109_08.tif_C2:Intersection-C2,0.586,2072.156
407,109_08.tif_C1:Nucleus-C1,2.290,1937.724
408,109_08.tif_C1:Intersection-C1,0.714,2039.846
409,109_09.tif_C2:Nucleus-C2,2.354,1968.125
410,109_09.tif_C2:Intersection-C2,0.669,2041.904
411,109_09.tif_C1:Nucleus-C1,2.528,1848.583
412,109_09.tif_C1:Intersection-C1,0.779,2031.482
413,109_10.tif_C2:Nucleus-C2,2.409,1916.027
414,109_10.tif_C2:Intersection-C2,0.586,1934.969
415,109_10.tif_C1:Nucleus-C1,2.198,1943.954
416,109_10.tif_C1:Intersection-C1,0.522,2070.316
417,109_11.tif_C2:Nucleus-C2,2.143,1947.842
418,109_11.tif_C2:Intersection-C2,0.586,2056.750
419,109_11.tif_C1:Nucleus-C1,2.281,1903.618
420,109_11.tif_C1:Intersection-C1,0.577,2053.127
421,109_12.tif_C2:Nucleus-C2,2.354,1903.000
422,109_12.tif_C2:Intersection-C2,0.687,1984.440
423,109_12.tif_C1:Nucleus-C1,2.152,1912.468
424,109_12.tif_C1:Intersection-C1,0.614,2095.851
425,109_13.tif_C2:Nucleus-C2,2.381,1848.342
426,109_13.tif_C2:Intersection-C2,0.614,1900.657
427,109_13.tif_C1:Nucleus-C1,2.116,1940.385
428,109_13.tif_C1:Intersection-C1,0.531,2032.155
429,109_15.tif_C2:Nucleus-C2,2.143,1905.368
430,109_15.tif_C2:Intersection-C2,0.760,2062.386
431,109_15.tif_C1:Nucleus-C1,1.933,2065.863
432,109_15.tif_C1:Intersection-C1,0.779,2222.118
433,109_17.tif_C2:Nucleus-C2,2.354,1807.490
434,109_17.tif_C2:Intersection-C2,0.888,1986.052
435,109_17.tif_C1:Nucleus-C1,2.198,1882.696
436,109_17.tif_C1:Intersection-C1,0.943,2103.913
437,109_18.tif_C2:Nucleus-C2,2.299,1822.530
438,109_18.tif_C2:Intersection-C2,0.788,1985.023
439,109_18.tif_C1:Nucleus-C1,2.152,1883.651
440,109_18.tif_C1:Intersection-C1,0.696,2099.513
441,109_19.tif_C2:Nucleus-C2,2.418,1783.561
442,109_19.tif_C2:Intersection-C2,0.779,1915.953
443,109_19.tif_C1:Nucleus-C1,2.171,1936.502
444,109_19.tif_C1:Intersection-C1,0.714,2094.821
445,109_20.tif_C2:Nucleus-C2,2.354,1745.802
446,109_20.tif_C2:Intersection-C2,0.843,1858.359
447,109_20.tif_C1:Nucleus-C1,2.116,1930.212
448,109_20.tif_C1:Intersection-C1,0.751,2113.512
449,11_00.tif_C2:Nucleus-C2,2.491,1826.688
450,11_00.tif_C2:Intersection-C2,0.678,1888.568
451,11_00.tif_C1:Nucleus-C1,2.665,1629.186
452,11_00.tif_C1:Intersection-C1,0.779,1697.459
453,11_01.tif_C2:Nucleus-C2,2.308,1824.821
454,11_01.tif_C2:Intersection-C2,0.779,1861.247
455,11_01.tif_C1:Nucleus-C1,2.317,1726.506
456,11_01.tif_C1:Intersection-C1,0.751,1813.305
457,11_02.tif_C2:Nucleus-C2,2.299,1741.765
458,11_02.tif_C2:Intersection-C2,0.998,1874.220
